timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1733781937.665919,4,10.0.0.13010.0.0.601,10.0.0.13,0,10.0.0.6,0,1,0,0,6,514000000,20,100,0,5,490,0.8333333333333334,9.727626459143971e-09,81.66666666666667,9.533073929961088e-07,0
1733781937.665919,4,10.0.0.6010.0.0.1301,10.0.0.6,0,10.0.0.13,0,1,0,8,6,523000000,20,100,0,5,490,0.8333333333333334,9.560229445506692e-09,81.66666666666667,9.369024856596558e-07,0
1733781937.668088,1,10.0.0.1505010.0.0.6353466,10.0.0.1,5050,10.0.0.6,35346,6,-1,-1,6,539000000,20,100,0,152093,10038718,25348.83333333333,0.0002821762523191,1673119.6666666667,0.0186247087198515,0
1733781937.668088,1,10.0.0.63534610.0.0.150506,10.0.0.6,35346,10.0.0.1,5050,6,-1,-1,6,542000000,20,100,0,327102,14620265632,54517.0,0.0006035092250922,2436710938.6666665,26.974659837638377,0
1733781937.668444,2,10.0.0.1505010.0.0.6353466,10.0.0.1,5050,10.0.0.6,35346,6,-1,-1,6,529000000,20,100,0,152093,10038718,25348.83333333333,0.0002875103969754,1673119.6666666667,0.0189767826086956,0
1733781937.668444,2,10.0.0.13505010.0.0.6353461,10.0.0.13,5050,10.0.0.6,35346,1,0,0,6,509000000,20,100,0,5,490,0.8333333333333334,9.823182711198427e-09,81.66666666666667,9.62671905697446e-07,0
1733781937.668444,2,10.0.0.63534610.0.0.150506,10.0.0.6,35346,10.0.0.1,5050,6,0,0,6,546000000,20,100,0,327101,14620265510,54516.833333333336,0.000599086080586,2436710918.333333,26.777043058608054,0
1733781937.668444,2,10.0.0.63534610.0.0.1350501,10.0.0.6,35346,10.0.0.13,5050,1,0,8,6,529000000,20,100,0,5,490,0.8333333333333334,9.45179584120983e-09,81.66666666666667,9.262759924385634e-07,0
1733781937.668614,5,10.0.0.13010.0.0.601,10.0.0.13,0,10.0.0.6,0,1,0,0,6,517000000,20,100,0,5,490,0.8333333333333334,9.671179883945841e-09,81.66666666666667,9.477756286266924e-07,0
1733781937.668614,5,10.0.0.6010.0.0.1301,10.0.0.6,0,10.0.0.13,0,1,0,8,6,520000000,20,100,0,5,490,0.8333333333333334,9.615384615384617e-09,81.66666666666667,9.423076923076924e-07,0
1733781937.668669,3,10.0.0.13010.0.0.601,10.0.0.13,0,10.0.0.6,0,1,0,0,6,512000000,20,100,0,5,490,0.8333333333333334,9.765625e-09,81.66666666666667,9.5703125e-07,0
